"","beach_id","region","council","site","longitude","latitude","date","enterococci_cfu_100ml"
"49",25,"Sydney City Ocean Beaches","Randwick Council","Clovelly Beach",151.267505,-33.914486,"07/12/2013",5
"50",25,"Sydney City Ocean Beaches","Randwick Council","Clovelly Beach",151.267505,-33.914486,"10/09/2013",0
"51",25,"Sydney City Ocean Beaches","Randwick Council","Clovelly Beach",151.267505,-33.914486,"16/09/2013",1
"52",25,"Sydney City Ocean Beaches","Randwick Council","Clovelly Beach",151.267505,-33.914486,"22/09/2013",3
"53",25,"Sydney City Ocean Beaches","Randwick Council","Clovelly Beach",151.267505,-33.914486,"20/10/2013",3
"54",25,"Sydney City Ocean Beaches","Randwick Council","Clovelly Beach",151.267505,-33.914486,"13/11/2013",2
"55",25,"Sydney City Ocean Beaches","Randwick Council","Clovelly Beach",151.267505,-33.914486,"21/11/2013",1
"56",25,"Sydney City Ocean Beaches","Randwick Council","Clovelly Beach",151.267505,-33.914486,"23/12/2013",1
"57",25,"Sydney City Ocean Beaches","Randwick Council","Clovelly Beach",151.267505,-33.914486,"13/12/2013",1
"58",25,"Sydney City Ocean Beaches","Randwick Council","Clovelly Beach",151.267505,-33.914486,"31/12/2013",12
"59",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"31/12/2013",11
"60",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"13/12/2013",0
"61",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"23/12/2013",4
"62",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"21/11/2013",30
"63",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"13/11/2013",8
"64",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"20/10/2013",0
"65",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"04/10/2013",18
"66",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"16/09/2013",290
"67",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"07/12/2013",3
"68",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"29/11/2013",5
"69",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"05/11/2013",2
"70",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"28/10/2013",94
"71",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"12/10/2013",3
"72",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"28/09/2013",2
